Nombre del Producto,Marca,Precio,Stock,Categoría,Unidades por Pack
Leche Entera,La Serenisima,2.99,200,Lácteos,1
Arroz Integral,Molinos,1.50,150,Alimentos,2
Detergente Liquido,Skip,5.25,100,Limpieza,1
Pan de Molde,Bimbo,2.75,120,Panadería,1
Yogur Natural,Sancor,3.50,180,Lácteos,4
Galletas Saladas,Terrabusi,1.99,250,Snacks,3
Papel Higiénico,Scott,4.25,80,Hogar,12
Aceite de Oliva,Cocinero,7.99,90,Alimentos,1
Shampoo,Pantene,6.50,120,Cuidado Personal,1
Pañales,Huggies,12.75,50,Bebés,24
Tomate en Lata,Arcor,1.75,100,Conservas,2
Café Molido,Nescafé,8.99,80,Bebidas,1
Harina de Trigo,Morixe,2.25,150,Alimentos,1
Limpiahogar,Ayudín,3.50,110,Limpieza,1
Pasta Dental,Colgate,2.75,130,Cuidado Personal,1
Atún en Lata,Calvo,3.99,70,Conservas,3
Queso Crema,Philadelphia,4.50,100,Lácteos,1
Salchichas,Swift,5.25,120,Embutidos,10
Cereal de Avena,Quaker,3.25,80,Desayuno,500
Jabón de Tocador,Dove,2.99,150,Cuidado Personal,2
Salsa de Tomate,Knorr,1.50,200,Conservas,500
Limpiador Multiuso,Cif,4.75,90,Limpieza,750
Vino Tinto,Norton,10.99,60,Bebidas,750
Helado de Vainilla,Frigor,6.50,80,Helados,1
Cepillo de Dientes,Oral-B,1.99,120,Cuidado Personal,1
Cerveza,Quilmes,2.25,100,Bebidas,6
Toallas de Papel,Elite,3.25,100,Hogar,4
Sopa en Lata,Knorr,1.75,120,Conservas,400
Aceitunas,Ybarra,2.99,80,Conservas,250
Mayonesa,Hellmann's,3.50,100,Condimentos,500
Pan de Pueblo,Lactal,2.25,150,Panadería,1
Gaseosa,Coca-Cola,1.99,200,Bebidas,2
Maíz en Lata,Bonduelle,1.50,80,Conservas,300
Pañuelos Faciales,Kleenex,2.75,120,Hogar,80
Yogur de Frutas,Danone,3.25,150,Lácteos,4
Jabón en Barra,Lux,1.99,100,Cuidado Personal,2
Pizza Congelada,Grandiosa,4.75,70,Congelados,1
Salsa BBQ,Kraft,2.50,80,Condimentos,350
Pan Integral,Fargo,2.25,120,Panadería,1
Desodorante,Rexona,3.99,100,Cuidado Personal,1
Manteca,Sancor,4.50,80,Lácteos,200
Pescado Congelado,Iglo,6.99,60,Congelados,500
Cereal de Maíz,Kellogg's,3.25,120,Desayuno,300
Papas Fritas,Lay's,2.75,150,Snacks,200
Agua Mineral,Villavicencio,1.25,200,Bebidas,2
Champú,Head & Shoulders,5.99,80,Cuidado Personal,500
Jamón Cocido,Caserío,3.50,100,Embutidos,150
Mermelada,La Campagnola,2.99,120,Conservas,400
Sopa Instantánea,Knorr,1.75,80,Conservas,50
Queso Rallado,Ilolay,2.50,100,Lácteos,100
Cepillo para el Pelo,Tangle Teezer,7.99,60,Cuidado Personal,1
Pan de Centeno,La Salteña,2.25,100,Panadería,1
